,q05_spot_factorsAstro,q05_spot_factorsEndo,q05_spot_factorsL2/3 IT,q05_spot_factorsL4,q05_spot_factorsL5 IT,q05_spot_factorsL5 PT,q05_spot_factorsL6 CT,q05_spot_factorsL6 IT,q05_spot_factorsL6b,q05_spot_factorsLamp5,q05_spot_factorsMacrophage,q05_spot_factorsNP,q05_spot_factorsOligo,q05_spot_factorsPvalb,q05_spot_factorsSncg,q05_spot_factorsSst,q05_spot_factorsVLMC,q05_spot_factorsVip
priorregion1_spot_1,0.17244581058621405,3.2682451518439847e-07,4.372353450889933e-05,1.2665270651268656e-05,2.686556390472106e-05,7.301602163352073e-05,0.0009427037934074178,0.00013944773381808774,0.0002731892192969099,1.8348212415730812e-05,1.406926537583786e-06,4.7030590394570027e-05,3.1107890009880066,9.72372745309258e-06,1.782309673217242e-05,6.91877771714644e-06,4.779449369607392e-07,6.282275285229844e-06
priorregion1_spot_2,0.3157393097877502,1.2729497100849585e-07,1.3725849748880139e-05,8.395270451728721e-05,4.022942121082452e-05,1.764518765412504e-05,0.6080365926027298,3.4511857279539985e-06,2.8383951757859904e-06,4.803314186574426e-06,4.100084574076846e-08,1.088733288270305e-05,1.6417940139770508,3.5693679251380677e-06,7.732161634521618e-07,1.3373124659210589e-06,2.927430983845626e-07,9.929186944646064e-07
priorregion1_spot_3,0.6537284076213836,2.4883879135018105e-08,2.829521781677613e-06,1.1527613253292658e-06,2.5863291853056578e-06,1.958758616638079e-06,0.14599437341094018,2.571108245774667e-06,6.040829276798831e-07,5.091851676297667e-07,5.83230525208478e-08,5.24728754953685e-06,1.1275249540805816,4.666441114409281e-07,3.330768805653861e-07,1.3058997225812163e-07,4.8206829994512644e-08,1.3597916677099421e-07
priorregion1_spot_4,2.0244141936302187,4.386895877672714e-08,1.1421271608469399e-06,6.567693873194003e-07,9.023237907967996e-07,3.206865187621588e-06,1.956134872216353e-06,5.775705602673042e-07,7.163432144352555e-07,4.577646976144934e-07,3.719647470035171e-08,1.9687509052346283e-06,1.9137698769569398,1.1810859518845973e-06,4.408572920056031e-07,2.650021144745552e-07,6.698971830587653e-08,5.847343174991694e-07
priorregion1_spot_5,0.0007930540305096657,2.470123021680593e-08,1.6868871313135972e-07,4.278135790514171e-07,1.4576032754121114e-07,3.637603199990736e-07,6.713235990218891e-07,1.493974608024473e-07,2.0439981440745214e-07,2.719091057201695e-07,2.8208359470482947e-08,2.2181705276125286e-06,3.6609231352806093,2.1699765255789317e-07,1.7381456984821853e-07,6.59532979341293e-08,0.00013445422009681352,2.633844943034092e-07
priorregion1_spot_6,1.3041566491127012,2.665321376937868e-08,7.333692877864451e-07,4.221714675622934e-06,2.281777597090695e-06,5.64931433473248e-06,5.561824167443774e-07,7.068861378911607e-07,1.2106482756735206e-06,0.0001039202976244269,1.0290104368593233e-08,6.978115766287374e-06,1.2244576394557953,1.5941618016768189e-06,1.0252786864839435e-06,1.7867301892238176e-06,2.7776712663296624e-08,8.873307479007054e-07
priorregion1_spot_7,0.2991960421204567,4.0360744719691865e-07,4.689628758569598e-06,5.908174057367433e-06,6.580001695510873e-06,0.00043459102016640827,4.424658181960695e-05,4.723539768747287e-06,2.1608250608551317e-05,6.621224974878714e-06,1.1694648605953263e-06,0.00019154837864334697,3.3543391704559324,3.648535039246781e-05,1.3941892484581333e-05,2.6038309556497553e-06,2.983823392810337e-07,3.1953482721291945e-05
priorregion1_spot_8,0.6664908260107041,1.8907400431089628e-06,0.00015362798512796871,4.623399890988367e-05,0.0002431023167446256,0.00012233070883667098,0.0001707811374217272,0.0002936706194304861,0.0010665881971362978,0.0004019441534182988,4.6606055548181757e-07,0.013472522841766477,3.46541063785553,7.744650647509842e-05,7.52886408008635e-05,0.00017775724118109795,1.7189018251428933e-06,0.00045666339137824253
priorregion1_spot_9,0.09034901522099972,6.314693674625006e-08,1.1867868295212247e-06,1.4065112509342726e-06,3.5555777458284867e-06,2.2087771958467785e-05,7.560571498288482e-06,1.3832001968694385e-06,2.2594881897930464e-06,1.9513669371917787e-06,1.692760775995339e-06,1.4627914151787993e-05,2.2543389201164246,1.488533138171988e-06,1.2124834711357835e-06,7.549743230583772e-07,9.534773312225298e-07,1.5323957711643743e-06
priorregion1_spot_10,0.3433566898107529,2.958396024155263e-07,1.0029406530520646e-05,3.6379545804265947e-06,1.0401731969977845e-05,6.480289521277882e-05,1.0688781958378969e-05,1.4966831213314436e-05,0.014112522127106786,7.2754296525090476e-06,9.331343484575427e-08,1.4745146154382383e-05,2.9583510994911197,9.598210135663976e-06,9.322696814706432e-06,1.1960602023464163e-06,4.245256050694479e-07,7.4618966664274925e-06
priorregion1_spot_11,0.0004450472551980056,2.3917745384238746e-08,6.605593263486754e-08,4.528074498466595e-07,1.0266130772151882e-07,2.7548253882514474e-07,1.3032812589131028e-07,7.386383806817777e-08,1.2297768137159437e-07,1.0848606031288455e-07,8.792284900138727e-09,2.1908997993591586e-07,2.2443283796310425,1.8367369847283044e-07,6.83472709539501e-08,1.0581732539094447e-07,1.066848476227733e-07,1.1361512122221031e-07
priorregion1_spot_12,0.00021548933509620837,1.4500399503347697e-08,3.8525575085657236e-08,4.17303793298629e-08,1.2317226438796069e-08,8.811930740648677e-08,7.605964498225149e-08,5.286373454538307e-08,4.053168964901488e-08,5.4676941729780994e-08,1.867439918257219e-08,1.5690106351939907e-07,3.2817423701286317,5.675112486613898e-08,6.410331074846454e-08,2.2798692977943344e-08,1.378898910608939e-08,4.2131595634486986e-08
priorregion1_spot_13,0.8339737147092819,2.0629102337466065e-07,8.843478184417109e-07,1.384394533943123e-06,1.737131282197879e-06,1.7543537012443268e-06,1.455806642525204e-06,6.710247475893994e-07,9.881115602183855e-07,1.8691155560190965e-06,5.048270832475055e-08,1.3740588087785e-06,2.900602161884308,1.7341394425329783e-06,7.225827232559823e-07,0.00048617619759170336,1.8183014276473842e-07,1.4034992545930436e-06
