,q05_spot_factorsAstro,q05_spot_factorsEndo,q05_spot_factorsL2/3 IT,q05_spot_factorsL4,q05_spot_factorsL5 IT,q05_spot_factorsL5 PT,q05_spot_factorsL6 CT,q05_spot_factorsL6 IT,q05_spot_factorsL6b,q05_spot_factorsLamp5,q05_spot_factorsMacrophage,q05_spot_factorsNP,q05_spot_factorsOligo,q05_spot_factorsPvalb,q05_spot_factorsSncg,q05_spot_factorsSst,q05_spot_factorsVLMC,q05_spot_factorsVip
priorregion1_spot_1,4.273839688301086,1.8313544813963743e-08,1.0187876178235911e-07,5.647160872257473e-08,6.171162176826785e-08,6.688744633720489e-08,4.881600261796848e-08,1.1006345665975913e-07,9.45778431571398e-08,3.054103565602873e-08,1.1510410180548549e-08,7.148564833414639e-08,6.032899850794139e-08,1.0485268013837867e-07,4.855462343300588e-08,3.5783263285793514e-08,1.3470672444171327e-08,5.118938073422896e-08
priorregion1_spot_2,2.651267063617706,2.8647369587631035e-09,1.1355375084676213e-08,5.204868571695442e-08,1.801654958555332e-08,2.1070145095336555e-08,5.19979701962825e-08,1.5235330685925418e-08,1.840019274723659e-08,1.2323702058836261e-08,2.525582942780602e-09,2.5854494190014067e-08,7.606072527366336e-09,1.2273228477965859e-08,1.4155898142576007e-08,8.641240523132865e-09,3.3853445047249413e-09,1.4015850169357693e-08
priorregion1_spot_3,3.833646535873413,5.4262216275802195e-09,3.044829659515358e-08,4.6135775022548846e-08,3.219973283563605e-08,6.874842881643418e-08,4.03723358743946e-08,3.4956407723996104e-08,1.8874876328567325e-08,2.5536215897403737e-08,1.6274736225341258e-08,5.16557587815214e-08,1.7781878227651762e-06,9.316080209487153e-08,1.7661536801938383e-07,5.6837676787324654e-08,5.4175891932573e-07,2.3948946381580072e-08
priorregion1_spot_4,3.509277427196503,3.39232800072864e-08,3.965792529925239e-07,2.7491672369706074e-07,3.9489992360586266e-07,1.0836181957074586e-06,4.813500027012197e-07,8.192482567892512e-07,4.628508150972266e-07,1.5392814489700868e-07,4.1730579347643014e-08,2.2375769077598308e-07,1.743260710895811e-07,4.094862262604693e-07,3.2005022944758823e-06,4.901242306232234e-07,1.3911157648038855e-08,0.0001991633282159455
priorregion1_spot_5,3.8140606999397275,1.568804530727164e-08,3.26341151435372e-07,2.0293863371989574e-07,4.3703584680088174e-07,2.2135298749503818e-07,4.4425796943414756e-07,3.076164816206984e-07,2.1858671885865994e-07,5.989649363158379e-08,2.272880061937599e-08,2.0778195590764882e-07,9.876866897684522e-08,3.3713501892407297e-07,2.2012811839999813e-07,9.574808395029778e-08,5.031728034232685e-09,6.026694450156356e-08
priorregion1_spot_6,4.001827621459961,7.566242232748267e-09,1.122780620477215e-07,9.028166374491775e-08,3.397347860811806e-08,2.497406100587796e-07,1.2140363025991974e-07,1.9286332246792885e-07,2.3762466483390203e-08,3.1212894313625836e-08,1.4837412720680733e-08,3.4547503346971095e-08,6.957516482941629e-08,2.5808219916712007e-08,2.7650417422364628e-08,3.448812950779256e-08,5.754545706615488e-09,2.4724302249978793e-08
priorregion1_spot_7,2.6632256269454957,7.13264589613516e-09,4.1218726920533304e-08,2.993242720350509e-08,3.031952573451236e-08,5.309927342267429e-08,4.071906811731196e-08,3.166308655266903e-08,2.3418270789221653e-08,1.7840077948250153e-08,4.413147025594812e-09,4.1564643993297065e-08,1.0233419622807105e-07,2.1645093983835296e-08,1.8611357166520293e-08,1.8754642994167626e-08,4.898220229421214e-09,7.262496204418767e-09
priorregion1_spot_8,2.9931079387664794,1.926026946819093e-08,2.6951577236644653e-08,6.082970642751208e-08,5.1250143506820227e-08,1.4270756523160344e-07,5.159719300706912e-08,2.5211791410129085e-08,4.770199577563971e-08,3.8354361286963016e-08,6.8273863895740315e-09,4.308813359443776e-08,2.8760975911978908e-08,2.309454334437078e-08,2.9712013560612153e-08,3.0131533179655895e-08,5.845527728531865e-09,4.381996099311892e-08
priorregion1_spot_9,3.518897449970245,1.4296768879873415e-08,7.85052256446761e-07,1.0434745604470664e-06,8.269750139788812e-07,7.836295367269487e-07,5.422741423899424e-07,7.214324142523765e-07,5.785982949646495e-07,4.207625366348112e-07,6.362486870692408e-09,5.494849119713763e-06,1.0246457478046976e-07,8.880437690095277e-07,8.765182485603873e-07,6.465327004434585e-07,2.34888479333506e-08,4.815438444438769e-07
priorregion1_spot_10,4.494630455970764,2.1090813646651445e-07,8.17114074180836e-08,3.112021005335919e-07,3.976450074105742e-07,3.2024654785800525e-07,2.1625546651193872e-07,1.5806295010634132e-07,9.983301424654202e-07,8.905682200577304e-08,2.025428379681671e-07,4.258336062434864e-07,8.567505993539726e-08,3.1995902645576277e-06,6.40488678982365e-08,4.088980040251045e-06,2.176557041266847e-08,1.3318760210268011e-07
priorregion1_spot_11,5.083782839775085,2.6975167077836205e-08,6.012290015178224e-07,1.4144640033464383e-06,3.856786690903391e-07,1.023658438725761e-06,4.559196739251092e-07,4.2884897766271024e-07,3.731713292154382e-07,1.8785079518579552e-07,9.661114575010288e-08,1.1308349428418296e-06,3.2221988135461297e-07,5.332446505690313e-07,1.0553099549781564e-07,0.0002550061064539477,2.98040773394348e-08,1.0934121696948297e-07
priorregion1_spot_12,4.845496201515198,2.339446893984132e-08,7.739780244264694e-07,1.9823660224460582e-07,2.3204407995081058e-07,2.257444869258052e-07,4.03380144575749e-07,1.764979650431542e-07,9.046985844918254e-08,4.331984584382553e-08,6.415448190466577e-08,1.2210477819962762e-07,1.994672956584509e-07,9.74535051767589e-08,8.48448468815377e-08,6.895116619887177e-08,3.860490718210486e-08,4.6811458531692555e-08
priorregion1_spot_13,4.425359535217285,1.684752710673365e-07,4.457202544472239e-06,5.567078756030241e-06,7.406756071759447e-06,8.750073102419265e-05,1.4483650465990651e-05,7.17114526196383e-06,4.309998098506184e-06,4.214051813278275e-07,4.503295514268757e-08,5.470669498208736e-06,2.0304905845591747e-07,3.5566550195653693e-06,1.149869729033526e-06,5.996740185310046e-07,2.0935161160196006e-08,4.0961694338648156e-07
priorregion1_spot_14,4.722360253334045,1.8867014173196143e-08,1.7372288482420118e-06,6.681168173372499e-07,8.760481051695024e-07,2.775637790364272e-06,1.2225052330450126e-06,9.1707502178906e-07,2.821271763764344e-07,8.142711145353587e-08,1.579711588206578e-08,6.054356390450266e-07,1.6138100647822286e-06,6.918047688486695e-07,8.200906904676231e-08,1.5938334030352055e-07,5.304139790496265e-07,3.088194077349726e-07
priorregion1_spot_15,3.770419669151306,4.930453578744221e-09,6.19262133128018e-08,3.6469766939717377e-08,2.8542612184878637e-08,5.8176391526387765e-08,1.3364816942029736e-08,2.5117709689936873e-08,2.0510252074501528e-08,9.033025216709236e-09,5.432013616690767e-09,2.137537178370508e-08,5.635749005250546e-08,2.679989226095359e-08,2.0382705478994015e-08,1.4727213137888386e-08,1.2298550222666906e-08,1.5671995345911684e-08
priorregion1_spot_16,2.0196995377540587,7.4150872109157725e-09,3.0999608497950253e-07,1.4783962285491727e-07,2.3246833933399105e-07,3.983105600013914e-07,4.077179610817439e-07,1.8379587487515892e-07,6.289256504032892e-07,5.946461261174819e-08,5.539675695942492e-09,1.1904670103035641e-07,5.327816321454293e-08,1.315480091079735e-07,4.255605404068774e-07,1.5794589174333852e-07,6.838047950097348e-09,1.248892154137593e-07
priorregion1_spot_17,5.672922348976136,7.197241345124893e-08,3.796816429257888e-07,4.6958617616610354e-07,6.102447969169589e-07,1.0095046889091464e-06,4.167848743463765e-07,1.8950028390918308e-07,1.9754786322323524e-07,5.386564225773327e-07,4.174848662330533e-08,1.5629247911874701e-06,2.463080051029465e-07,9.772163394927703e-07,2.092830038691318e-06,2.747825163851303e-07,3.4370737722611016e-08,7.076738427258533e-07
priorregion1_spot_18,3.411300981044769,1.7805146601546087e-08,3.334934532972511e-07,2.719488605862352e-07,5.782928923281361e-07,3.1497273624836456e-07,3.66332366752431e-07,3.178537539838544e-07,1.214715339870054e-07,7.557442032180007e-08,1.636513928815475e-08,1.921082748879144e-07,1.3260882596455302e-07,1.2692344526499254e-07,9.812870906955596e-08,7.260008310083776e-08,5.1225093278262074e-09,1.5290877470874877e-07
priorregion1_spot_19,3.4693565845489505,8.850270916127555e-09,4.385290957031884e-08,6.236081908639335e-08,3.070193930199139e-08,5.338634068152715e-08,7.165326429969809e-08,2.5140592807559867e-08,2.8752462100101186e-08,7.877021790392291e-09,1.2217823908144967e-07,7.152743748406468e-08,3.2881421319075346e-08,2.8992276046579948e-08,1.2138703020525554e-08,2.338317601768836e-08,5.430126082117681e-09,5.753825971233085e-09
priorregion1_spot_20,5.209084320068359,1.1167841673653811e-08,5.177587709681575e-08,4.331951295455384e-08,5.7413841147990764e-08,8.044592476608158e-08,1.1136790156740518e-07,2.2018256284894732e-08,3.079377286496765e-08,1.1682301215287797e-08,1.2329556575707558e-08,8.122533223797745e-08,1.1581241139424493e-07,8.769096702110347e-08,4.688243695483152e-08,1.0377252053217491e-07,1.024193188037259e-08,2.2507763830503793e-08
