,q05_spot_factorsAstro,q05_spot_factorsEndo,q05_spot_factorsL2/3 IT,q05_spot_factorsL4,q05_spot_factorsL5 IT,q05_spot_factorsL5 PT,q05_spot_factorsL6 CT,q05_spot_factorsL6 IT,q05_spot_factorsL6b,q05_spot_factorsLamp5,q05_spot_factorsMacrophage,q05_spot_factorsNP,q05_spot_factorsOligo,q05_spot_factorsPvalb,q05_spot_factorsSncg,q05_spot_factorsSst,q05_spot_factorsVLMC,q05_spot_factorsVip
priorregion1_spot_1,5.091156708658673e-07,2.003567693975583e-08,2.1623543125315338e-05,6.86235031025717e-05,0.1671855494379997,6.687859713565558e-05,0.13890002593398093,8.670585630170536e-05,0.0001989257019886281,0.20030536353588105,1.2839762542071754e-08,2.9909249224147065e-05,1.4904698915074734e-07,1.1925043963856297e-05,0.00020305394937167873,5.476968203765864e-06,1.9315370103356598e-08,0.30265238434076314
priorregion1_spot_2,4.2900524874767145e-07,0.00011456032734713517,2.3633149339730157e-06,0.0001580840653332416,2.4336328010576835e-06,6.153651747808909e-06,1.9490817066980526e-06,3.4858339859056287e-06,7.758786892964054e-07,0.4882222816348076,1.172758832268528e-08,1.4390278295195458e-06,6.712956697185746e-08,0.054671430401504045,2.8714162340293115e-06,4.741789965123645e-07,0.00024450387863907965,0.766163256764412
priorregion1_spot_3,5.589040756603936e-06,5.250843955195705e-08,8.410517657466698e-05,0.0003147615512716584,0.19710520952939986,0.00019242002599639818,0.316795340180397,0.03572880700230598,0.00017844152534962632,0.14199789613485336,5.4251752423795097e-08,0.4786214962601662,7.274319699490662e-07,3.080999958910979e-05,0.00017468631631345488,9.4366820576397e-06,3.371505901128557e-08,0.14086757749319076
priorregion1_spot_4,4.005256698746962e-07,5.8410021708255044e-08,2.5105298209382455e-05,0.00010565428856352811,0.3966732919216156,6.0465778005891486e-05,0.7442341893911362,0.00022570921646547504,0.07393067926168442,0.39702633321285247,2.4977124901681692e-08,3.4553227305877956e-05,1.3128804070561271e-07,3.281383123976411e-05,2.4951931391115067e-05,2.0006703380204274e-06,2.1102415814766576e-08,2.8067240691598276e-06
priorregion1_spot_5,6.700157041450439e-06,1.0063833606466234e-07,4.815244337805781e-05,0.0007091246690833942,0.06143666729331017,0.00017445103221689351,0.24245944917201995,0.0003785694862017408,2.3526667609985454e-05,0.07903117537498475,2.4872232096129207e-08,4.656532728404273e-05,3.1841024821233083e-07,8.101351249933942e-06,0.0002923948515672237,6.3483745179837575e-06,1.1279932117247428e-07,0.9987565517425537
priorregion1_spot_6,2.005879844091396e-06,6.570836355024313e-08,4.623996719601564e-05,0.018774519115686415,0.16181723326444625,0.0008398044912610202,0.35241248905658723,9.334440801467282e-05,1.862392009570613e-05,0.08189140036702157,2.7357406739980664e-08,6.331195145321544e-05,4.89920246593556e-07,1.3146200763003435e-05,1.3501543890015457e-05,3.9799271917218e-06,2.0825258033596587e-07,0.6259969353675842
priorregion1_spot_7,1.4879136699619267e-06,4.577864576305048e-08,2.7162369860889157e-05,0.0002775185042992234,5.780264546046965e-05,3.1290620063373355e-05,0.6925064474344254,0.0021638204343616962,8.294419239973651e-05,0.458498702943325,5.491312626837441e-09,2.623477594170254e-05,1.7172929531739103e-07,1.0279413754687993e-05,7.4122705427726036e-06,3.539445128808439e-06,1.6297165146283986e-07,0.5049847930669784
priorregion1_spot_8,9.849157862618087e-08,3.379596105190786e-08,2.9748293627562817e-06,1.767012654454447e-05,4.268494262760214e-06,5.925455297983718e-06,5.179468666938192e-06,2.724102296269848e-05,8.19723418317153e-06,0.27188787460327146,1.4119539670787163e-08,4.524804762695567e-06,1.323987625312384e-07,3.234505657019326e-05,0.0026354331523180006,2.4419570422651305e-06,2.7690312265349348e-08,0.8423019617795945
priorregion1_spot_9,1.329206980926756e-06,3.437104307835171e-08,3.301019150967477e-05,0.00014064359638723547,0.44610410332679745,0.0001077269327652175,0.19938249960541723,6.032429064362077e-05,1.2582719000420187e-05,0.10823990851640701,2.352618686529695e-08,1.1172392078151462e-05,7.38474167150116e-08,8.437297219643371e-06,6.73285027005477e-05,1.0872612563161966e-06,3.050994976661059e-08,0.16638493463397025
priorregion1_spot_10,3.9156180093868896e-07,1.9322469757554478e-08,2.8889071109006183e-05,0.002790217846632004,0.0002494682208634913,3.84296421543695e-05,0.2768348649144173,0.0391073351725936,1.459829077248287e-05,4.435487535374705e-05,2.1928938842563638e-08,0.37687932699918747,2.3367783015260103e-07,0.001994493987876922,1.3497524059857824e-05,4.155494548285788e-06,1.2918605634126835e-07,0.5161075353622436
priorregion1_spot_11,3.881288776597103e-07,2.7138437985740894e-08,6.406639022316085e-06,3.936590765079019e-05,1.1112503625554381e-05,0.00019046358502237127,0.7102280050516129,1.3054840974291438e-05,9.713091458252165e-06,0.3776128739118576,4.352824412023893e-09,0.03645218145102263,1.294519968553232e-07,9.945622559826008e-06,1.0921167245214748e-06,2.9791261113132353e-06,1.145051709272593e-06,2.0665691067733858e-06
priorregion1_spot_12,1.7391285922485625e-07,1.0313799592154284e-08,9.281167058361461e-06,6.806578094256111e-05,6.042740210432385e-06,4.200332186883316e-05,0.48018677830696105,3.402122711122502e-05,7.3982434969366295e-06,2.938935786005459e-05,2.2512728303780707e-08,9.099312319449383e-06,6.987348060647492e-05,1.0885975314067764e-06,2.3790820591784724e-06,7.896038738408606e-07,6.479374770052006e-09,0.28619347065687184
priorregion1_spot_13,9.135609332133755e-07,2.7729653950814285e-08,1.6821136705402753e-05,0.00022468510578619317,3.462194035819266e-05,0.0005442487396067009,0.7947464257478715,0.0001116114181058947,4.9960736032517164e-05,0.0001519395831564907,1.9904781378699002e-08,3.805605374509469e-05,5.168276345557388e-07,0.034337311610579485,0.048960649967193605,5.018726619709924e-06,5.284682998762946e-07,0.3565733715891838
priorregion1_spot_14,5.346784632820345e-07,1.6155625033320574e-07,4.063810756633757e-05,0.00027768084401031957,0.19764533042907714,4.3861329504579775e-05,0.7435123831033706,0.0007879953045630828,4.977601947757649e-05,0.180329267680645,2.044512950050149e-08,0.09976873956620694,1.507675406742237e-07,1.0633057308950811e-05,7.829611331544583e-06,5.416554267867469e-06,2.715763578464703e-08,0.65860495865345
priorregion1_spot_15,1.8221408083718414e-06,4.13672971262713e-05,0.00010610230201564265,0.00017009458679240197,0.26240035295486447,0.00027098263817606496,0.2173938862979412,0.00019714476002263837,0.05237455684691668,0.37523196488618854,5.0375121318779746e-08,6.297917934716679e-05,1.6122369714821616e-07,2.207651823482593e-05,8.04892581072636e-05,3.1362412755697733e-06,5.711261152896441e-08,0.7317411214113236
priorregion1_spot_16,2.909140206952543e-07,2.6383549833752793e-08,7.210646763269325e-05,0.05325110033154488,0.13871726468205453,5.318412004271522e-05,1.0515498797758482e-05,0.00025733030342962594,7.641761408194725e-06,0.5480022072792053,2.470992814807005e-08,2.9937487215647707e-05,1.4184505445768993e-07,5.525185520127707e-06,7.383095521618089e-06,2.5217684196832126e-06,1.9707280429770434e-08,0.8035671085119248
priorregion1_spot_17,6.489645642204777e-07,7.016110394886255e-08,8.937212987802922e-06,0.00011914258793694898,0.14251999258995057,6.990493675402832e-05,2.9106661622790855e-05,2.7190244509256445e-05,0.04539543762803078,0.497655126452446,2.5817483795265163e-08,1.519448828730674e-05,0.00015706496924394742,5.428175209090114e-05,1.2318112112552626e-05,1.798667170760382e-06,2.5202563591619768e-08,0.579135411977768
priorregion1_spot_18,2.7339277721694093e-06,2.2529402343707264e-08,1.3925845678386397e-05,0.00011850846458401065,8.77601451065857e-06,1.638411513340543e-05,2.9626635023305428e-05,5.9014261933043595e-05,6.305609736045881e-06,0.10426931940019131,7.389234890631258e-09,0.20634662285447122,0.00021053018936072478,4.523610505202669e-06,4.843710303248372e-06,1.121327102282521e-06,1.5847515211220296e-08,0.8425477534532547
priorregion1_spot_19,9.358819539784235e-07,2.0720669713369945e-08,2.259111570310779e-05,0.00017711028704070486,1.9087473174295155e-05,0.00012964613270014525,0.00022353909371304327,8.758339608903042e-05,8.02357459178893e-05,0.834047383069992,5.82672095106318e-07,4.153859099460533e-05,9.305350907595767e-08,2.640916154632578e-05,5.1751102773778255e-06,4.147120944253402e-06,3.361260603185201e-08,0.6301184296607971
priorregion1_spot_20,6.097026516727055e-06,1.761591228444104e-08,0.0002681998332263902,0.0005095295782666653,7.286352883966176e-05,3.047501504624961e-05,0.742197385430336,7.51345680328086e-05,2.9432607061608e-05,2.8951199874427404e-05,2.7329075980020432e-08,0.21370973587036135,2.9739863975919435e-07,2.3503787269874016e-05,4.50921527317405e-06,6.179851538945513e-06,2.3420917472094516e-08,0.38080465197563174
priorregion1_spot_21,7.901715093794338e-07,2.8759428616353947e-08,2.1190902498346986e-05,0.00023968188179424033,0.1382331795990467,0.00012897949272883125,0.19001123905181885,0.00020959517569281162,0.0001044019063556334,0.4135863795876503,1.4501002398858988e-08,0.018697486352175476,7.55314795242157e-07,1.647662338655209e-05,1.9663655439217107e-05,1.1045926294173114e-05,2.3499609991262107e-08,0.7270986437797546
priorregion1_spot_22,0.0003642665600636974,1.2409353544740043e-07,4.307396902731853e-05,0.000245021544105839,3.0641461034974785e-05,2.522647782825516e-05,0.48554934859275817,0.0006067183770937845,1.7335768006887523e-05,0.4529644101858139,2.5159632688342982e-08,3.128238950012019e-05,6.687308520270108e-08,1.6439155024272624e-05,1.4704397017339943e-05,2.6387548018647066e-06,6.118626352247248e-08,0.4515139549970627
priorregion1_spot_23,1.5591949988902346e-07,1.4077364962616914e-08,7.98680252955819e-06,0.00017443382239434868,0.7406658679246902,7.360525046351541e-06,2.786773738989723e-05,2.533738306738087e-05,1.3550188486988191e-05,3.53873108906555e-05,7.883536268238346e-09,4.541432917903877e-06,3.264520849199926e-08,0.0008027035626582801,0.0001436353923054412,7.171501152924975e-07,1.645207516887126e-08,0.7600558429956437
priorregion1_spot_24,2.445109394102474e-05,1.894733605567467e-08,7.640606963832397e-05,9.552041119604837e-05,3.817568831436802e-05,4.811430681002094e-05,0.8548019170761108,0.00018467158733983526,0.004448704840615391,0.27691988199949263,2.031789474443713e-08,0.00029482730169547725,2.240964299460302e-07,0.0015738850343041122,0.0007050888234516606,5.683358244823467e-06,6.422711535947201e-08,0.3846947491168976
priorregion1_spot_25,5.928866528392974e-07,1.9560983872679573e-07,3.558500302460744e-05,0.00040589278651168573,0.4443638727068901,9.515190322417766e-05,0.3186501577496529,0.00021923115564277394,1.7892933738039576e-05,0.4981805086135864,1.1218643169996768e-08,0.0002578232088126242,1.7887707457475698e-07,2.4034472880885007e-05,9.224123232343118e-06,4.111220528102421e-06,4.119651428879934e-08,0.3531284466385841
priorregion1_spot_26,1.3832341835495755e-06,1.6587689266600592e-08,5.6432378642057305e-06,0.004006989533081651,4.936300374538405e-05,2.8733528597513214e-05,1.5267813742160796,4.8267066813423294e-05,2.830477187671932e-05,5.097140956422663e-06,5.094999666610535e-09,0.00349217017646879,5.405439100769627e-08,2.342131415389304e-06,7.300712127289445e-07,1.0053914763830109e-06,1.0360332636238923e-08,5.747069195649601e-07
priorregion1_spot_27,1.971112190801705e-07,2.0527875754794424e-08,4.239769132254878e-05,5.4051055303716564e-05,2.8385287350829458e-05,0.00025581291265552863,0.22955220565199852,0.00017251957469852642,9.553583959132084e-06,6.405375388567336e-05,5.148168624735662e-09,6.56629713375878e-06,4.896316649904975e-08,0.022509128227829935,0.04727002326399088,1.4914782639152691e-06,1.3434640866449854e-08,0.25346220284700394
priorregion1_spot_28,3.745431257584642e-07,4.461065561400801e-08,1.9918735506507805e-05,0.04880759082734585,0.3761546447873116,3.170944219164085e-05,0.24397149905562399,0.00021834482467966154,1.7574884168425342e-05,0.13900940418243407,6.167130961465262e-09,3.1279563881980724e-05,1.7062569597214862e-07,5.6802658946253366e-05,1.7014467459830484e-06,3.840851661607303e-06,8.141001783812385e-09,2.0614833715626446e-06
priorregion1_spot_29,5.898066028748872e-05,3.2692455320670887e-08,0.00015525025301030838,0.041521907225251196,0.08791392780840396,4.460529216885334e-05,0.24401737973093987,0.0014026882883626968,2.393226150161354e-05,0.45199928879737855,7.049647017254302e-08,0.0001467082249291707,3.751787133410289e-07,0.037686502747237685,2.2821464153821583e-05,5.969278299744474e-06,1.199714856738865e-05,0.14805012270808218
priorregion1_spot_30,1.1777224642628425e-06,1.9496348713232692e-07,4.77206116556772e-05,0.00018742508764262313,3.069609701924492e-05,0.00013554233082686552,0.3120491594076157,5.6942307310237084e-05,1.437436749256449e-05,0.29243104308843615,2.7595670282209996e-08,9.373896828037686e-05,0.0012463584658689796,0.00037578763585770507,0.14416377171874045,8.30106191642699e-06,1.2652423890813226e-07,0.5582923740148544
priorregion1_spot_31,0.00011734595791494941,1.0398931351573994e-07,0.00021928212372586132,0.0017102853220421822,0.9020995229482651,0.00014349012562888677,0.2090634077787399,0.00383616010658443,0.019173922669142487,0.34343646615743634,1.0900013762693562e-07,0.00018031073414022104,7.531068627031346e-06,4.200964485789882e-05,9.421561044291595e-05,1.1688024596878676e-05,5.560394072290366e-07,0.5406627029180526
priorregion1_spot_32,2.2150161811396176e-07,2.7494547083506404e-08,2.059972293864121e-05,0.00016244098587776535,5.170182430447312e-05,3.0417936704907335e-05,0.5415358752012253,0.00018186462839366868,1.8106038078258282e-05,0.2502634420990944,1.3114511876466394e-08,0.1589136242866516,3.63705151329441e-08,7.202059532573913e-06,6.20202499703737e-06,3.9757214381097585e-06,1.432750438290498e-08,0.18754883855581284
