,q05_spot_factorsAstro,q05_spot_factorsCR,q05_spot_factorsEndo,q05_spot_factorsL2/3 IT,q05_spot_factorsL4,q05_spot_factorsL5 IT,q05_spot_factorsL5 PT,q05_spot_factorsL6 CT,q05_spot_factorsL6 IT,q05_spot_factorsL6b,q05_spot_factorsLamp5,q05_spot_factorsMacrophage,q05_spot_factorsMeis2,q05_spot_factorsNP,q05_spot_factorsOligo,q05_spot_factorsPeri,q05_spot_factorsPvalb,q05_spot_factorsSMC,q05_spot_factorsSerpinf1,q05_spot_factorsSncg,q05_spot_factorsSst,q05_spot_factorsVLMC,q05_spot_factorsVip
L2/3_spot_1,2.4430866574221005e-07,4.6178949162367646e-07,2.294071403952103e-08,0.13825975954532624,0.10457969568669795,8.440533656539629e-06,1.1920173801627244e-05,1.8884882024394756e-06,4.245631475896516e-06,2.9144535574232583e-06,4.816806040253141e-06,2.847694897667452e-08,6.428002848224423e-07,9.381248628415052e-06,7.050440729017283e-08,2.116639080895766e-07,2.208905743827927e-06,2.7953252956791632e-08,0.0011951225518714637,3.676208484648669e-06,4.1358355815646066e-07,4.304287539724783e-08,0.6113906800746918
L2/3_spot_2,8.819866188503056e-08,1.3537515769712628e-06,5.776466700524452e-08,0.7189161628484726,0.00026340270269429314,0.0007388777623418719,8.722379643586465e-05,9.657394002715591e-05,2.868476585717872e-05,5.253569111118851e-06,8.217586537284661e-06,1.6980520189946448e-08,8.195623649953632e-06,8.394694623348186e-06,2.301823682770987e-08,5.186184441896557e-08,2.5360350628034214e-05,3.954168370512434e-08,6.632359600189375e-06,1.8401120030375752e-06,5.965227956039598e-07,2.0996491212343926e-08,0.8400994151830674
L2/3_spot_3,0.12085313089191914,2.0794839883819806e-06,6.05848837764711e-08,0.6548108041286469,0.00019686110317707062,7.700762216700242e-06,8.813958856990213e-06,8.420215726800963e-06,2.286605749759474e-05,8.807668791632752e-06,1.7804074923333248e-05,2.81060180462589e-08,0.0008735744311707095,5.5124071650425325e-06,7.469032361484552e-08,5.766194934864189e-08,2.5712344495332216e-06,2.995990300291851e-08,1.7945447098099977e-06,9.84709936346917e-06,7.865134875828518e-07,3.426073913459504e-08,0.3690941900014877
L2/3_spot_4,9.915212073607905e-09,1.1231806013256574e-06,1.075841518094478e-08,1.0693895816802979,0.0773742526769638,1.8796608003412989e-06,5.215637486344349e-07,1.469825525646229e-06,4.10876752994227e-06,4.5407492450522123e-07,4.5669400350334405e-07,5.3356576268370766e-09,9.230158781292629e-07,1.6180343664018436e-06,5.5689165945338466e-09,1.3806685128514573e-08,2.4105775153770997e-07,6.257528761821619e-09,4.277181009371135e-08,1.307624366120308e-07,2.517814522207118e-07,6.1832542641582225e-09,1.9545262617270964e-07
L2/3_spot_5,0.21038872301578523,1.042528361949735e-06,1.5859832824816068e-08,9.703167677344028e-07,4.162798700235726e-06,3.3077040370699254e-06,2.0473093968575997e-06,2.938293584975327e-06,2.526351113374403e-06,2.8443374139897064e-05,2.0924772434227636e-05,1.6885932740962063e-08,4.3846565347394065e-07,1.0438383515065653e-05,0.0006881312088808045,1.1337352852081041e-07,7.589125686990884e-07,4.007366012359626e-08,0.06506101973354816,3.2566044183113266e-06,1.2569209218327161e-06,6.880572165357537e-08,0.7494473278522492
L2/3_spot_6,0.7919589519500732,1.7641782790178695e-06,3.85217219900369e-08,0.15162645429372787,9.949238074113963e-06,2.8020077388646316e-05,0.00029473652975866573,1.4884956726746168e-05,1.8498122699384112e-05,3.481346629996551e-05,4.9239134023082455e-05,5.576631032511159e-08,0.0005318837793311104,0.00013811614335281774,3.191508142208477e-08,1.0606234894794398e-07,0.04945041686296463,3.602609410791047e-08,1.5059230508995825e-05,1.639979018364102e-05,8.276536846096862e-06,9.510503602427889e-08,0.6923243910074234
L2/3_spot_7,1.2992557207880396e-08,0.0006713847367791459,8.274189067236649e-09,1.509037607908249,4.590765479406401e-06,1.9290506088509575e-06,1.451793582418759e-05,2.0527971969386273e-06,9.689610669738614e-06,5.25460029621172e-06,5.600248698556243e-07,7.789414357972646e-09,4.169514653540318e-07,2.1791488620692695e-06,1.0035297259847198e-08,1.70324631731944e-08,4.000621146360572e-07,1.5980428624828848e-08,1.016702587008922e-07,1.2431272224944224e-07,6.071078388458773e-07,7.374919697156202e-09,9.471038957542534e-08
L2/3_spot_8,0.2589941814541817,1.4959811892367726e-06,5.470480282099289e-08,0.7404437780380249,1.7215817535998212e-06,5.415598002400656e-06,1.0941748496406945e-05,1.2405498921452818e-06,3.490630988380872e-05,5.60116299652691e-07,1.4388227782546892e-06,3.6587574570035035e-08,9.638943225809271e-07,1.0914095696534786e-06,1.9417195407100962e-08,1.5440186906801046e-08,3.7900819620517724e-07,9.439300496794094e-09,2.3675597375927283e-07,2.761170776466315e-07,8.244962600656436e-07,1.2549336991796169e-08,3.7194649706862035e-07
L2/3_spot_9,4.490715888039176e-08,3.389213546256542e-07,1.1697278390343515e-08,8.187697574157937e-07,2.5382715421073955e-06,5.208900972775155e-07,5.662769325454064e-07,5.850893018077842e-07,8.439764997092426e-07,2.400963587945171e-07,1.3216469483268158e-06,9.515273236004873e-09,2.15042944518018e-07,2.8738461566035777e-07,6.846104128044317e-07,2.9404729762205765e-08,0.001095677725970745,3.5420134381070056e-08,0.07297070175409318,1.222934781708318e-06,1.47164341512962e-07,7.356383484591334e-08,1.7963062822818756
L2/3_spot_10,0.4297781765460968,3.0730223443242724e-06,1.2747656441547406e-07,0.538067764043808,0.045634692721068855,3.1113291515794114e-05,1.3653806263391745e-05,1.2404466860971296e-05,0.00017836281695053912,2.027827042638819e-06,3.0774234073760456e-05,2.3278961904793505e-07,0.00015705819605500436,3.993647715105909e-05,1.571953866630338e-07,5.965961918263929e-07,9.246999161405257e-06,4.09865856809688e-08,1.653892411468405e-06,5.696818379874458e-06,2.725974718487123e-06,4.416176455634969e-08,0.15142634510993958
