,q05_spot_factorsAstro,q05_spot_factorsEndo,q05_spot_factorsL2/3 IT,q05_spot_factorsL4,q05_spot_factorsL5 IT,q05_spot_factorsL5 PT,q05_spot_factorsL6 CT,q05_spot_factorsL6 IT,q05_spot_factorsL6b,q05_spot_factorsLamp5,q05_spot_factorsMacrophage,q05_spot_factorsNP,q05_spot_factorsOligo,q05_spot_factorsPvalb,q05_spot_factorsSncg,q05_spot_factorsSst,q05_spot_factorsVLMC,q05_spot_factorsVip
priorregion1_spot_1,5.334020869440793e-07,5.0422760899948575e-08,5.1311496099515354e-05,0.4369292169809341,2.093848679578514e-05,1.3015786680625752e-05,3.282750349171693e-05,8.904252827051097e-05,3.229418541650375e-06,0.18386364430189134,3.225062599199191e-08,6.229103564692196e-06,7.424484493867567e-08,4.923936353407044e-06,0.23255941793322565,3.5529337651496465e-06,7.970058835127249e-09,0.007602518051862717
priorregion1_spot_2,5.629322231470724e-07,5.371571063506053e-08,0.00017360943165840582,0.4902830749750138,0.00039620250172447415,0.03843793570995331,1.7074232437153115e-05,0.00010451731322973501,8.169728016582668e-06,0.3407633021473884,2.3864728238010003e-08,5.706290835405525e-06,1.437841227414083e-07,1.4426429743252813e-05,0.42282679975032805,8.023131886147895e-06,7.337798457740519e-08,3.8279237196547916e-05
priorregion1_spot_3,1.601926542207366e-05,2.4597760557298897e-07,0.001368989155162126,4.359467966423836e-05,3.0723865529580506e-05,1.538550955046958e-05,7.446618019457674e-06,9.528267728455831e-05,9.110445807891665e-06,2.470198360242648e-05,6.325732604395284e-09,7.5806000268130455e-06,1.5731746657365874e-06,5.887949682801263e-05,1.358572041988373,6.021358717589465e-06,1.9351570390568896e-08,1.0814238976308845e-05
priorregion1_spot_4,8.525854653385068e-08,1.7517618822182614e-08,6.572694724127359e-06,0.7080226808786392,4.508150436777214e-06,6.45992447516619e-06,2.379341003688751e-06,3.5558213994590916e-06,2.5572705567356024e-06,0.6312304437160492,1.3215695027213315e-08,3.385278091627697e-06,2.8590900758018734e-08,6.273905864873086e-06,2.452698458910163e-06,4.3512555066627104e-06,4.154249655385912e-09,9.02707290606486e-07
priorregion1_spot_5,1.8918140995083375e-06,4.924668459693749e-08,1.5425581750605488e-05,0.6796418547630311,4.107392669538967e-05,2.367763472648221e-05,5.2629409083237985e-06,8.267157954833238e-06,3.2999696372826295e-06,0.3987543925642967,2.0273637346690523e-08,1.0591936370474287e-05,9.076984781586362e-08,0.010907117696478962,0.31397030353546146,4.29854028425325e-06,1.9800381867440824e-08,6.427337507375341e-06
priorregion1_spot_6,6.422994943022786e-06,1.9439044596225585e-08,1.4374989575571818e-06,4.234242328493565e-06,1.901608288790158e-06,5.206092896514747e-06,2.335236717954103e-06,1.579962810183133e-06,6.128933932814108e-07,0.2074942469596863,2.7730183660423793e-08,1.7724553288189783e-06,7.541095676799614e-08,0.029380393866449594,0.9448656290769577,5.252379924058914e-06,1.0112214576807333e-08,3.0044476352486528e-05
priorregion1_spot_7,3.072034132856061e-07,4.3080193634637005e-08,3.1722310995974116e-05,0.5837831526994705,0.0001306539823417552,1.1377560258551967e-05,1.089881880034227e-05,1.5515428322032677e-05,0.0008823646552627906,0.06994656696915627,1.2289449369262684e-08,5.616619114334753e-06,6.66322012676801e-08,8.88184690666094e-06,0.2331807941198349,5.6772899370116646e-06,3.863131219361548e-08,8.882603651727551e-06
priorregion1_spot_8,0.00023692805771133863,5.503481759205897e-08,6.615871006943052e-06,4.030360946671862e-06,7.288029019036913e-06,2.7960638021795604e-06,3.371697016518738e-06,0.00023248074649018236,2.779886540338339e-06,2.2503616492031145e-06,1.4666847647504259e-08,1.921493981171807e-06,6.047124507801982e-08,1.9147534771946088e-06,0.8786914676427842,1.3457172087782965e-06,6.278976538709458e-09,3.389367575437063e-05
priorregion1_spot_9,1.454058505601097e-07,2.5447352580698636e-08,0.11178034618496895,0.9851361334323883,5.8983177041227464e-05,6.184855556057301e-06,1.0340785956941544e-05,3.1398764258483423e-05,4.494023846746131e-06,0.9911511063575744,6.32123018373676e-09,7.879611212047167e-06,2.487063204270612e-08,3.6838756386714527e-06,1.8848607624022406e-06,9.965290587388155e-07,6.599147539532168e-09,5.504850378201809e-07
priorregion1_spot_10,2.739441822541266e-06,1.9265651545197214e-07,1.9307842376292683e-05,0.17817114070057868,1.474205409977003e-05,7.241528692247812e-06,5.289862292556791e-06,1.1135308341181371e-05,2.2034395556147502e-06,0.5943018138408661,1.7069580771078565e-08,5.783346796306432e-06,6.764890301269589e-08,0.0007989159785211086,0.650818595290184,2.521870737837162e-06,4.80550868431351e-08,0.0003486750749289058
