,q05_spot_factorsAstro,q05_spot_factorsEndo,q05_spot_factorsL2/3 IT,q05_spot_factorsL4,q05_spot_factorsL5 IT,q05_spot_factorsL5 PT,q05_spot_factorsL6 CT,q05_spot_factorsL6 IT,q05_spot_factorsL6b,q05_spot_factorsLamp5,q05_spot_factorsMacrophage,q05_spot_factorsNP,q05_spot_factorsOligo,q05_spot_factorsPvalb,q05_spot_factorsSncg,q05_spot_factorsSst,q05_spot_factorsVLMC,q05_spot_factorsVip
priorregion1_spot_1,0.8983501434326172,3.856360528686764e-08,0.00019438516101217827,0.00010850954495253973,8.391761912207586e-06,4.3835690803462056e-06,5.0439079132047485e-06,0.0009284579631639644,5.5782569916118525e-06,6.041464757799986e-06,8.44602885408108e-09,2.0733106066472828e-05,9.529359665805261e-08,4.5381729023574735e-06,7.840052921892493e-06,1.8188601757174184e-06,7.233553667163051e-08,0.5227003008127212
priorregion1_spot_2,0.2832764536142349,1.5923082870017426e-07,4.402943850436714e-05,4.6368643597816114e-05,1.69714637195284e-05,0.00013211939804023132,6.043464545655297e-05,6.15561240920215e-05,0.0030175412888638676,0.313484913110733,0.2333563581109047,1.9004733348992887e-05,0.05320877898484469,0.019932469911873342,1.4628320604970213e-05,8.71657744028198e-06,3.2214603180591443e-07,0.2381321877241135
priorregion1_spot_3,0.3357232749462128,7.140173579500698e-07,9.908810534398072e-06,4.037810640511452e-06,1.0863631132451701e-05,3.7236748426039413e-06,5.315812154549349e-06,1.3604396644950612e-05,2.38891409480857e-06,2.8028051747241993e-05,0.10312677249312402,7.192404382294626e-06,0.002358707436360419,1.554518980810826e-05,6.0174894133524514e-05,1.6325009073625552e-05,7.522186393771336e-07,0.355292434990406
priorregion1_spot_4,1.345078999293037e-07,3.242189752228342e-08,2.57167023846705e-05,7.965234544826671e-05,1.673813967499882e-05,4.366238135844469e-06,4.608151471074962e-06,0.00021593411875073799,1.5598770573888034e-06,0.5981775104999543,8.272185203495042e-09,2.4374635904678145e-05,1.9236882220496908e-08,8.227227272072924e-06,0.0005859201512066647,0.00041227735782740633,7.10103817969099e-09,0.23810834735631944
priorregion1_spot_5,0.42123105376958847,4.810465235038919e-08,7.624053614563309e-05,3.958558700105641e-05,1.1175055715284544e-05,2.0005397072964118e-05,2.902338137573679e-05,0.00011288646928733216,1.6099716776807328e-05,2.3941146196193584e-06,1.79717072334995e-08,3.7430463407872595e-06,1.0420051168580358e-07,0.0011211887409444897,0.04251969456672668,2.035861427884811e-06,5.3535127264581203e-08,0.7145912677049637
priorregion1_spot_6,0.05946335792541504,2.4101300954981753e-08,8.385423188883579e-06,1.033412554534152e-05,4.974489434061979e-06,6.55602805181843e-06,1.5668751416342275e-06,6.161958549455449e-06,3.234290295495157e-06,0.18621959164738655,2.957827337013441e-06,2.3885541168056083e-06,2.564255554560191e-08,1.4448503998210072e-05,4.430073113326216e-06,1.1608872546275964e-05,3.4478477139998634e-08,0.23453384935855864
priorregion1_spot_7,0.11180579178035259,3.7709972531274623e-07,2.3091845196177023e-05,1.4759215264348314e-05,3.861253117065644e-06,3.250063691666582e-05,2.007998882618267e-05,1.5888993402768392e-05,3.0904040499990515e-06,1.7433402081223904e-05,0.4940311908721924,2.7449439039628486e-05,0.20967092663049697,1.150182324636262e-05,2.554902812335058e-06,5.072505041425757e-06,3.1388191814585296e-07,0.5076968908309937
priorregion1_spot_8,0.8213733851909637,8.035290406382956e-08,8.088278082141186e-06,2.2184101180755533e-05,1.8155641373596155e-05,3.397521777515067e-05,0.0002633902637171559,4.1362793672306006e-05,9.432986144020105e-06,7.672852279938525e-06,0.3881874948740005,1.6578227496211186e-05,5.564871145224971e-07,6.215575172063837e-06,0.006516454066149891,6.399211383723014e-06,2.638441216618048e-08,0.2280720815062523
priorregion1_spot_9,1.3355579042695354e-07,7.345797179425517e-08,7.278167049662443e-06,3.009760814620677e-06,1.6120728503210557e-06,8.093180758805829e-06,2.0887617665721337e-06,5.429747261587181e-06,6.814061265458805e-07,0.7639407128095628,0.15803254246711732,1.1618426810855454e-06,1.8105091470488333e-08,3.0018567827028164e-06,1.881399020930985e-06,5.100438016825138e-07,1.2085496781111263e-08,7.44117622275553e-07
priorregion1_spot_10,0.23147753700613977,3.035022743347326e-07,1.0559292331890903e-05,2.9349158012337284e-05,3.897252918250161e-06,8.22112529021979e-06,6.79206059430726e-06,1.3553330609283877e-05,3.486090508886264e-06,0.34597140848636626,1.6170753447397605e-08,1.626367920835037e-05,4.883881175032911e-08,8.630292995803757e-06,2.0105440307816024e-05,6.182065976645391e-06,5.6112983592981904e-08,0.44560630470514295
