	Astro	CR	Endo	L2/3 IT	L4	L5 IT	L5 PT	L6 CT	L6 IT	L6b	Lamp5	Macrophage	Meis2	NP	Oligo	Peri	Pvalb	SMC	Serpinf1	Sncg	Sst	VLMC	Vip
L2/3_spot_1	0.26817563	0.06235501	4.7547253e-08	0.15539534	3.5183467e-07	2.5910185e-07	0.050758775	0.0012003471	5.158743e-07	7.5044204e-07	0.18069343	4.2173705e-09	4.0428284e-07	1.2766574e-07	1.234508e-07	1.9288233e-08	1.8343935e-07	7.945327e-09	0.040310036	0.22781523	1.9971844e-07	4.042103e-08	0.013293295
L2/3_spot_2	0.07793238	0.04407504	9.926556e-09	0.119264424	3.894077e-07	1.4980261e-06	2.6267398e-07	3.6640017e-06	7.006498e-06	0.014420959	0.06828971	4.384712e-09	8.435262e-07	2.3322116e-06	3.0057738e-08	1.9640812e-08	0.34423313	5.963832e-09	5.963539e-06	8.857094e-07	5.1232365e-07	1.9688127e-08	0.33176094
L2/3_spot_3	6.607361e-09	5.2626188e-08	1.3482384e-08	4.6202697e-08	2.5905885e-08	3.9381852e-08	4.7303676e-08	2.9972284e-08	3.118997e-08	3.9112482e-08	4.5792764e-05	1.446998e-09	1.3684344e-06	6.710855e-08	2.0773479e-08	6.725841e-09	2.5097722e-07	2.785551e-09	0.027187025	0.74095535	1.055758e-05	3.4005985e-09	0.23179919
L2/3_spot_4	1.6535838e-08	0.028209103	3.87464e-08	0.34409747	0.0003948034	1.4573852e-06	1.2062717e-06	4.5384277e-07	9.810013e-06	1.7322368e-07	1.5039107e-06	4.288891e-09	7.479118e-07	3.8088947e-07	3.606008e-08	0.0016897605	0.05522445	7.624022e-09	0.001289684	0.29211462	1.1155803e-06	1.4991995e-08	0.27696317
L2/3_spot_5	0.012654246	2.1829363e-08	4.3901465e-09	0.20937592	8.745855e-07	2.5098163e-07	7.307339e-07	1.3937385e-07	1.988272e-07	6.3594804e-08	7.629667e-06	1.7878677e-09	2.1230155e-06	1.5202548e-07	1.224636e-08	1.0205275e-08	0.1612605	1.9859865e-09	0.070413664	0.1454155	0.022580314	8.861172e-09	0.37828758
L2/3_spot_6	7.864574e-09	0.1413187	1.0231757e-08	0.3522656	4.3290816e-05	4.5474147e-07	8.8249266e-07	3.1564207e-07	4.8600293e-07	2.757951e-07	0.20600463	2.0528095e-09	0.008960667	1.4965192e-07	1.6730334e-08	1.8547206e-08	5.534956e-07	2.9609744e-09	0.00013084176	0.23322809	0.05804099	1.1008228e-08	4.0346936e-06
L2/3_spot_7	0.12941389	2.0794445e-08	1.8979282e-08	1.2882221e-07	3.9431484e-07	6.620479e-08	8.371586e-08	7.737305e-08	6.197319e-08	6.3943226e-08	0.24117671	2.5192337e-09	5.696198e-07	8.686998e-08	2.4426248e-08	1.23105055e-08	0.43700024	5.5562923e-09	2.1362992e-05	0.005721836	6.9366693e-06	2.1103567e-08	0.18665737
L2/3_spot_8	6.7141714e-09	2.7273897e-08	4.84043e-09	0.58540845	1.9376585e-06	1.2231635e-06	2.0834154e-06	1.3772109e-06	1.799019e-05	0.009986782	1.4057238e-06	2.0498006e-09	1.6053285e-07	2.5847072e-07	1.2900231e-08	5.13429e-09	4.83095e-07	2.149685e-09	0.10664444	0.016214903	3.2709247e-07	1.04194475e-08	0.281718
L2/3_spot_9	6.1619234e-09	3.1560383e-08	4.19426e-09	0.2137565	2.0613302e-07	1.5107561e-07	2.905234e-07	2.383916e-06	0.010449812	4.77776e-07	0.4625467	1.7690989e-09	2.2392672e-07	1.3279751e-07	1.2434297e-08	4.445791e-09	8.5848916e-07	2.37315e-09	0.21709919	0.07279605	0.023344846	3.0801677e-09	2.0875968e-06
L2/3_spot_10	0.11946876	0.074273825	1.1471764e-08	0.11511999	2.7426148e-07	1.784434e-07	0.011092583	1.03023085e-05	1.0114821e-06	2.1870075e-07	0.113202006	4.286226e-09	5.3683257e-06	1.0913906e-07	2.9359036e-08	2.2959624e-08	0.19797064	1.0957902e-08	0.00016221995	0.16505548	7.262384e-07	0.0014878911	0.2021483
L2/3_spot_11	0.39637348	4.2439854e-08	9.788927e-09	2.3736204e-08	2.8604394e-08	3.268864e-08	4.7541363e-08	3.2111156e-08	2.4056273e-08	2.698774e-08	4.2079996e-06	8.764039e-05	0.031104932	1.132166e-07	3.8165467e-07	4.0349256e-08	6.2021564e-07	6.763112e-09	0.24508765	0.32233092	2.1782925e-07	6.8369445e-08	0.0050094603
L2/3_spot_12	0.00769649	2.9176496e-08	8.9030445e-09	0.4151404	2.6513897e-07	2.1453236e-07	7.4999807e-06	2.0663492e-07	9.005008e-07	1.318099e-07	2.63929e-06	3.3261702e-09	2.559562e-07	1.8146773e-07	2.205104e-08	1.4434915e-08	0.08346805	4.0723758e-09	0.00012844961	0.092730604	1.2287903e-06	1.4434735e-08	0.40082237
L2/3_spot_13	0.11143608	2.8107255e-08	1.949856e-08	6.9758464e-08	7.928411e-08	7.902369e-08	4.0722193e-07	1.3691675e-07	5.2513197e-08	6.3738673e-07	0.59855956	2.3909092e-09	0.017919058	0.001955532	9.2311176e-08	1.3051109e-08	3.5024925e-06	2.9498117e-09	0.12033823	1.5565059e-06	5.973505e-06	8.3484295e-09	0.14977887
L2/3_spot_14	7.49614e-09	4.2635847e-08	4.9594546e-09	8.67016e-08	5.939819e-08	5.16511e-08	1.0228695e-07	5.2632007e-08	4.8735714e-08	1.0340003e-07	0.52371645	1.8280821e-09	1.0132022e-06	4.8748312e-08	1.5497116e-08	4.2480304e-09	3.4306327e-06	2.4296412e-09	0.06352944	5.6283978e-05	1.232027e-05	6.823335e-09	0.41268054
L2/3_spot_15	5.4869704e-09	0.08547418	5.7195138e-09	4.578277e-08	5.6040523e-08	6.054444e-08	6.5831095e-08	3.4788442e-08	5.1707143e-08	1.3857155e-07	0.56077343	2.6517528e-09	1.1070463e-06	8.104604e-08	1.28024285e-08	0.0013315456	9.3158576e-07	4.953515e-09	3.636081e-05	0.35235208	1.5006536e-05	3.1062797e-09	1.47904275e-05
L2/3_spot_16	5.506226e-09	0.13236162	6.0003043e-09	6.58318e-08	6.6376984e-08	4.5819057e-08	0.0004160062	5.716963e-08	4.3687432e-08	1.9767774e-07	0.43722382	2.6113076e-09	9.4866846e-07	9.4043635e-08	1.0058161e-08	6.4130847e-09	0.3458401	2.7747404e-09	0.084075496	4.2757647e-06	6.4982254e-05	5.1921583e-09	1.2184726e-05
L2/3_spot_17	0.100572504	6.5823876e-08	1.893692e-08	1.2549134e-07	7.1723484e-08	9.260367e-08	1.3865493e-07	7.04919e-08	5.564347e-08	1.0432846e-07	0.24030131	2.073725e-09	1.749037e-07	7.599087e-08	3.3217677e-08	1.0265501e-08	0.4023406	4.507914e-09	7.110637e-05	0.25669843	4.9625814e-06	1.30883775e-08	1.0083652e-05
L2/3_spot_18	0.06093956	2.7208142e-08	5.6709855e-09	0.3194803	4.0416086e-07	3.355954e-07	3.1054867e-07	1.6403062e-07	5.9867125e-07	7.440412e-08	3.050048e-07	2.231457e-09	0.0056484956	1.6574378e-07	1.170651e-08	7.734893e-09	0.20955515	3.488028e-09	0.012813799	0.14532286	3.9469205e-07	1.4419668e-08	0.24623707
L2/3_spot_19	7.689412e-09	0.16319555	4.350967e-09	0.36247414	1.5078957e-07	4.7214445e-07	1.2788698e-06	6.430264e-07	0.021444218	2.2046686e-06	0.44147676	1.8856074e-09	3.4782877e-07	1.8315978e-07	1.3511053e-08	5.7224674e-09	0.005264787	2.9585887e-09	0.005818726	2.0855003e-07	0.00031985572	5.525999e-09	5.0834547e-07
L2/3_spot_20	2.0310226e-08	0.061712448	7.895256e-09	0.076952495	1.665666e-07	1.9705742e-07	2.688429e-07	2.8105234e-07	3.5140306e-07	1.8120245e-07	0.4137576	3.681773e-09	3.0668414e-07	0.0003952307	3.507221e-08	3.560913e-08	2.4949549e-07	4.286237e-09	0.000121266385	0.16880271	2.9842397e-07	6.626407e-09	0.27825585
L2/3_spot_21	0.030649152	0.03254001	0.0004986679	0.34865013	3.6824983e-07	2.286887e-07	6.3357093e-06	2.9158748e-06	2.8428706e-06	4.4450354e-07	1.6605233e-06	2.2642432e-09	4.893486e-07	1.233774e-07	3.3289613e-08	1.5370652e-08	0.1350607	2.9027054e-09	0.03241574	0.15002927	3.330566e-07	1.2828196e-08	0.27014056
L2/3_spot_22	0.13861214	0.2574597	1.0621106e-08	0.59105337	5.350589e-07	4.4837103e-07	5.4691697e-07	2.2648233e-07	2.9705587e-05	9.60968e-08	9.481497e-08	4.0571835e-09	0.012821517	1.9031636e-07	1.171672e-07	1.282882e-08	1.379163e-07	3.8907606e-09	2.0689737e-05	2.385146e-07	2.1445435e-07	2.0345698e-08	1.14061656e-07
L2/3_spot_23	0.056460466	3.044463e-08	6.5269576e-09	0.3285846	2.1982726e-06	2.479511e-07	1.6693598e-07	1.964129e-07	2.0027649e-06	2.209474e-07	0.1624947	1.8944717e-09	6.236353e-07	2.2296011e-07	1.4501608e-08	4.345761e-09	1.7235328e-07	1.5285471e-09	0.10656814	0.20261657	5.0935284e-07	1.2284645e-08	0.14326896
L2/3_spot_24	3.8535153e-09	2.680048e-08	3.2465086e-09	0.4761209	0.010727864	9.711521e-07	0.0018343917	3.1771037e-07	3.318529e-06	8.937408e-08	1.1529716e-07	2.7393233e-08	1.3794065e-07	3.971339e-07	1.556299e-08	5.8209424e-09	0.5113093	4.4028003e-09	3.511594e-07	4.107806e-08	1.6513212e-06	4.1006882e-09	6.12159e-08
L2/3_spot_25	0.53656167	8.051054e-08	4.9496073e-08	8.757715e-08	8.1195395e-08	5.3810762e-08	5.728855e-08	5.804283e-08	7.737201e-08	6.8544836e-08	0.12344383	8.36418e-09	2.2378052e-07	6.3804144e-08	3.9114366e-06	4.591539e-07	1.14034215e-07	0.00039886896	0.08114702	9.288013e-05	0.03866279	1.9709596e-06	0.2196855
L2/3_spot_26	0.22126497	0.042611856	1.7580545e-08	0.11502469	4.6443213e-07	2.3531705e-07	2.1815548e-07	7.059494e-07	0.010632506	1.2575315e-07	1.3679244e-06	4.241299e-09	1.0801074e-06	0.0035660241	1.551642e-07	1.7784313e-07	9.340043e-08	6.2123635e-09	0.0075909914	0.4831336	1.9114758e-07	3.1219017e-08	0.11617054
L2/3_spot_27	1.0882891e-08	0.07048271	6.9197466e-09	0.57393533	3.4347576e-07	8.7164034e-07	3.6297427e-06	3.1454354e-07	0.04460547	3.7003355e-07	0.22280647	1.7486311e-09	0.034227848	1.00682236e-07	2.0103071e-08	9.44564e-09	4.2642677e-07	1.5803278e-09	0.05393487	2.626727e-07	6.160092e-07	8.208958e-09	4.3652452e-07
L2/3_spot_28	0.13287476	2.636825e-08	8.449232e-09	1.8581918e-08	1.6908224e-08	2.4290188e-08	3.0674126e-08	2.4684773e-08	1.7748128e-08	2.4674609e-08	4.032285e-06	2.0292064e-09	7.644896e-07	2.6876268e-08	1.9556909e-08	2.1804842e-08	0.2599009	5.1365907e-09	4.7226175e-05	0.55830646	2.2126817e-06	8.706862e-09	0.04886339
L2/3_spot_29	0.48483443	0.18682797	2.4769214e-08	2.9623097e-08	3.1472176e-08	3.721968e-08	3.5220214e-08	3.303995e-08	4.0803695e-08	9.480342e-08	0.32833344	6.4857684e-09	7.607805e-08	7.96616e-08	2.387882e-07	3.888366e-08	1.19766e-07	7.775792e-09	2.3304801e-06	3.6841476e-07	1.3546538e-07	1.3195901e-07	3.7094182e-07
L2/3_spot_30	1.9182297e-08	0.34676278	1.5058474e-08	7.605759e-08	5.685701e-08	7.080251e-08	9.39552e-08	6.004894e-08	7.961358e-08	7.267366e-08	1.0767196e-05	4.588265e-09	1.8115057e-06	1.2906888e-07	3.423461e-08	1.21829435e-08	7.5881496e-07	3.863523e-09	0.00011662205	0.61264044	2.1135431e-06	9.640353e-09	0.040464092
L2/3_spot_31	5.539558e-09	4.453891e-08	5.701988e-09	0.2570237	1.2985815e-07	1.6283859e-07	8.3577766e-07	5.3251296e-07	4.3470934e-07	1.3890619e-07	9.664933e-06	2.6297693e-09	1.8172973e-07	1.8193573e-07	1.4919e-08	7.74731e-09	0.28996748	2.7644402e-09	0.14090386	0.312082	9.88232e-07	7.2324458e-09	9.664901e-06
L2/3_spot_32	0.20995073	0.074571475	1.1842788e-08	0.2307177	0.025326196	1.5444195e-06	2.1528423e-07	8.5276025e-07	1.3016253e-06	9.897397e-08	4.8585066e-06	3.002444e-09	9.249657e-07	1.2807027e-07	4.4290978e-08	1.9941437e-08	0.44548762	4.582316e-09	0.01393416	9.953271e-08	1.6540579e-06	1.155104e-07	2.545037e-07
L2/3_spot_33	2.0650802e-08	0.0318344	5.5588125e-09	4.529669e-08	5.668412e-08	7.100081e-08	5.3560655e-08	4.671838e-08	5.2235922e-08	1.1523747e-07	6.634469e-06	1.8278776e-09	2.6576146e-07	5.636387e-08	1.59166e-08	8.345886e-09	0.18429564	2.8124258e-09	1.99716e-05	0.32997733	3.0129463e-06	4.9908535e-09	0.45386216
L2/3_spot_34	0.18875499	0.02946684	8.4789145e-09	0.29540774	3.5030837e-07	2.4341426e-07	9.57054e-06	1.7745754e-07	6.4565546e-07	0.005913182	3.5236221e-06	1.806283e-08	1.2747732e-07	7.602509e-07	5.601524e-08	1.3686344e-08	0.28088802	4.2006896e-09	0.052831672	0.12819025	5.698643e-06	3.2555068e-08	0.018526109
L2/3_spot_35	0.18909574	0.088405326	8.4318375e-09	3.9460176e-08	4.705034e-08	5.4024046e-08	1.08737126e-07	6.275696e-08	5.1147254e-08	1.4566307e-07	0.35268402	3.2610399e-09	1.4280009e-07	2.0547412e-07	5.179973e-08	1.4115084e-08	0.36976257	3.0189877e-09	4.4661145e-05	5.3951356e-07	5.0887656e-06	2.0927196e-08	1.0785449e-06
L2/3_spot_36	0.12745126	3.610722e-08	8.147153e-09	6.411056e-08	4.772285e-08	5.9379826e-08	6.014798e-08	8.160299e-08	6.646356e-08	6.691837e-08	0.33472407	1.99646e-09	1.3086363e-06	2.435708e-07	1.7387647e-08	1.4089523e-08	1.9710045e-05	3.0990945e-09	0.316787	0.21833453	0.002660549	2.8285726e-08	2.0900563e-05
L2/3_spot_37	1.1193021e-08	0.109634355	3.6224546e-09	1.01409604e-07	8.362318e-08	6.611328e-08	0.0027210745	5.424289e-08	5.70391e-08	4.2978268e-08	2.8312395e-06	2.8403406e-09	4.0952094e-07	8.1641744e-08	4.089545e-08	8.187736e-09	0.7016778	2.7716194e-09	0.01800625	4.3086044e-07	1.1549676e-05	4.8445923e-09	0.16794482
L2/3_spot_38	7.226878e-09	2.2036966e-08	4.1320916e-09	2.6518999e-08	3.3323815e-08	3.438526e-08	3.9229427e-08	3.395563e-08	2.9688417e-08	2.8363413e-08	4.57295e-06	1.7731787e-09	1.8543746e-07	4.320238e-08	1.2592394e-08	4.4393778e-09	0.34660798	2.4691598e-09	0.00010056839	0.6237147	6.4943206e-06	3.791148e-09	0.029565206
L2/3_spot_39	0.06269795	0.06518701	6.7553545e-09	0.7292641	2.5290732e-05	2.6796488e-06	1.0881061e-05	7.634703e-07	0.00045090026	1.3069283e-07	7.171973e-07	3.403477e-09	0.0061556166	5.3857116e-07	1.36446845e-08	1.1895638e-08	1.5619017e-07	2.5125217e-09	0.030279065	3.109284e-06	1.5226598e-07	9.645932e-09	0.10592099
