	Astro	CR	Endo	L2/3 IT	L4	L5 IT	L5 PT	L6 CT	L6 IT	L6b	Lamp5	Macrophage	Meis2	NP	Oligo	Peri	Pvalb	SMC	Serpinf1	Sncg	Sst	VLMC	Vip
L2/3_spot_1	1.21258505e-08	0.050498776	8.738198e-09	0.24831279	8.417409e-07	3.3105079e-07	3.2278552e-07	2.820689e-07	9.325642e-07	1.2781963e-07	8.730816e-05	4.128891e-09	4.812395e-07	1.4590398e-07	4.7804058e-08	7.897701e-09	5.955512e-07	2.8142504e-09	0.14971222	0.5496684	5.550451e-07	5.3237765e-09	0.0017158485
L2/3_spot_2	0.0739991	5.9351578e-08	1.208838e-08	0.5118086	0.028532265	8.7421773e-07	0.00031777457	9.273545e-07	5.3595877e-06	1.929259e-07	3.3184088e-07	3.25677e-09	2.1532718e-07	2.392752e-07	2.3467019e-08	1.07397025e-08	0.038358446	4.3331942e-09	0.00029115073	0.190659	5.384984e-07	8.655114e-09	0.15602496
L2/3_spot_3	0.22255258	2.6923518e-08	5.872092e-09	0.30287516	0.042446006	1.8962297e-07	1.0544104e-06	1.3954711e-07	1.6611038e-07	8.607804e-08	3.2657968e-07	3.5848144e-09	5.766523e-08	1.13343525e-07	0.012833436	9.4630614e-09	0.41928783	3.9059276e-09	2.1230494e-06	2.4792138e-07	2.2588549e-07	3.073712e-08	2.6468635e-07
L2/3_spot_4	0.09215415	5.604522e-08	1.6035662e-08	0.07436493	4.392937e-07	3.608097e-07	2.7664336e-07	1.3768426e-06	5.740158e-07	6.3487437e-07	0.06969041	3.633362e-09	1.0871462e-07	1.2559244e-07	2.6985166e-08	7.78152e-09	0.21794899	2.4498479e-09	0.021703659	0.44129205	8.948437e-07	1.1624884e-08	0.082840934
L2/3_spot_5	0.15700765	0.027719922	1.777363e-08	0.3506176	0.018552925	1.4739446e-06	6.3396186e-07	2.2746639e-07	0.016229313	1.5441329e-07	0.2205647	2.6377405e-09	9.633821e-08	1.8469443e-07	3.1013712e-08	0.0012850728	0.040795263	6.0959056e-09	0.074920736	0.09230333	2.063004e-07	2.5641425e-08	5.776443e-07
L2/3_spot_6	5.9386185e-09	3.0098054e-08	2.9507037e-09	1.4450902e-07	1.2948041e-07	1.0348512e-07	2.6809792e-07	7.861291e-08	1.337738e-07	5.4281124e-08	1.301381e-05	3.4186183e-09	1.4913209e-07	8.393671e-08	1.2352474e-08	5.576571e-09	0.37795043	2.8300453e-09	0.065907724	0.046658114	9.514967e-06	3.468763e-09	0.50946
L2/3_spot_7	0.0016587573	2.0971565e-07	0.00063148554	0.5137407	4.054624e-07	2.5936558e-07	1.1089445e-06	7.681674e-07	1.0742621e-05	2.7034514e-07	0.18669641	4.2396815e-09	9.283531e-07	1.3696175e-07	1.4569129e-08	0.0009901432	5.008325e-07	3.043741e-09	0.02151225	0.105299905	3.173482e-07	5.0779034e-09	0.16945466
L2/3_spot_8	0.0036164962	0.004646517	8.845422e-09	0.3437297	3.614024e-07	4.2494776e-07	1.5452827e-07	2.87522e-07	0.004975071	1.1027853e-07	3.7149755e-05	4.458364e-09	8.274167e-08	1.691352e-07	1.8063712e-08	2.5042302e-08	1.726488e-07	3.0031342e-09	0.043774378	0.23063558	1.5130999e-07	1.7735763e-08	0.36858308
L2/3_spot_9	2.836049e-09	5.594317e-08	1.4355289e-09	1.9673605e-06	1.1947401e-07	2.3045644e-07	1.18174576e-07	1.9806124e-07	0.06959258	8.673974e-08	1.8822767e-07	1.435236e-09	5.780107e-08	1.1724957e-07	6.338152e-09	2.8482163e-09	0.2829096	1.4351155e-09	0.20681159	0.17711571	3.719801e-07	2.6063522e-09	0.26356697
L2/3_spot_10	6.3282912e-09	3.0473977e-08	2.333718e-09	0.43137738	0.059298743	1.7949272e-06	2.3728857e-07	7.832363e-07	0.012321637	2.4159354e-07	1.5425654e-06	2.1749824e-09	4.8488323e-06	1.4913925e-07	1.29205375e-08	4.7277635e-09	2.603141e-07	3.1981238e-09	0.024558228	0.00018228221	1.2958921e-07	3.3974765e-09	0.47225168
