Mixture	Astro	CR	Endo	L2/3 IT	L4	L5 IT	L5 PT	L6 CT	L6 IT	L6b	Lamp5	Macrophage	Meis2	NP	Oligo	Peri	Pvalb	Serpinf1	SMC	Sncg	Sst	Vip	VLMC	P-value	Correlation	RMSE
L1-L6_spot_1	1.99492249453461e-05	0	1.32913961183988e-05	9.21768860490158e-05	0.000133471294588069	0.00148488299445763	6.30381563891186e-05	0.000180298119103483	0	0	0.000537749227820572	1.41066662792364e-05	2.44308674358914e-05	4.41095751049407e-05	0	1.56732778815558e-05	0	0.939301226940505	1.04027496078375e-06	4.22701432222377e-05	2.42950480276514e-05	0.0580079899071108	0	0	0.784766532934301	0.627146119871624
L1-L6_spot_2	0.00197621574498288	0.000723238944031614	1.36268794189909e-06	0	0	0.543086906632128	0	0.0389183616500537	0	0	0	9.67381260270126e-07	0	0.00194356718333346	3.80548449299423e-06	1.71813592986507e-07	0	0.297461389377508	0	0.0357699805345798	0	0.0801140325660943	0	0	0.818577355752557	0.690710348711176
L1-L6_spot_3	0	2.28190232498469e-05	0	9.09215507124181e-06	7.06135118456857e-05	0.322429680489278	6.07486664812532e-06	7.75491525768514e-05	0	4.05488861774456e-07	0	9.5244335818456e-06	0	2.55451330060433e-05	1.60768201133623e-05	9.01134448880914e-06	2.05084667794162e-05	0.677191133530561	3.91349390432778e-06	3.30530870865005e-05	7.57822695592643e-06	6.74207759915924e-05	0	0	0.898547858164828	0.567879695733612
L1-L6_spot_4	2.26712442615741e-05	4.87504326457825e-05	5.23491390623598e-06	3.70796964334702e-05	4.70042299314416e-05	0.308144499661365	0	9.60094598041969e-05	8.02901231985324e-05	2.57669078933098e-06	0	1.33233195870607e-05	0	6.20451973659322e-05	2.12086561931315e-05	0	0	0.61035816934316	8.26182217095337e-06	8.99421282335005e-05	2.34234204087295e-05	0.080926606593702	1.29030668436645e-05	0	0.85437606446223	0.607650745690783
L1-L6_spot_5	1.21096516651162e-05	9.82325976464728e-08	0	0.000193640688142292	0	0.333457212932445	0	0.000291633936891069	0	0.000240199542814109	0.00127924297272	1.41358330084332e-06	4.28052030050657e-05	0	0	0	0	0.663376706974476	0	4.98798918266811e-05	0.00104977638938165	0	5.28000073499136e-06	0	0.863751148669413	0.603125308262876
L1-L6_spot_6	3.14323633744819e-06	2.63413746053362e-05	3.10666112964794e-06	8.27630263162456e-06	4.13948426641466e-05	0.137641257984949	0	0	0	4.84076720007027e-05	0	5.84709156586814e-06	3.0816594124651e-05	1.28127212401439e-05	1.34010018623576e-06	3.79326358055397e-06	9.92379241850844e-06	0.862147992901106	2.01417806762804e-06	0	1.35312833929488e-05	0	0	0	0.909994523392312	0.503429439242792
L1-L6_spot_7	5.92700014614798e-06	0	7.92331327340116e-06	3.66324496324224e-05	0	0	9.49929026414704e-06	9.16598338802701e-05	0	1.51610355772956e-05	0	0	0	3.47154419574464e-05	9.2371573991264e-06	4.33348824995169e-09	0	0.999552265024813	0	7.95756426316637e-05	0	0.000157399476936644	0	0	0.892591060863431	0.492079645970512
L1-L6_spot_8	2.40437795550089e-05	0.00140893647377958	2.39093119399634e-05	0	0.0182750806140263	0.536543964294753	0.00348919446138103	0.000494115306556259	0	1.29163853395049e-06	0	2.19933858008991e-05	0	0	1.39886504208046e-05	0	0	0.40491296207173	7.75102289522125e-06	0.0267445250390412	4.77742307946997e-05	0.00796302317502222	2.74465437696626e-05	0	0.860221083987643	0.655986305546273
L1-L6_spot_9	0.00156472621255526	0.00316828347496831	0	0.0150372545280555	0	0.655695862061866	0	0.0756079493471359	0	0.0169810828969137	0	0	0	0	0.0027862857235285	0.000365706430154111	0	0.185736233520616	0.00219233141640932	0.0165217352465059	0	0.0243425491412913	0	0	0.834104410050418	0.701131910665539
L1-L6_spot_10	6.09492994401178e-05	0	2.60722032204654e-05	0	0.0205811702386533	0.260379501583386	0	0.0466031990927165	0.165658687872135	0	0.0126116471491242	0.000101517548904535	0	0	7.48394121388908e-06	4.16024963368328e-05	0	0.391427005953965	3.13890944788894e-06	0	1.92468766868071e-05	0.102447300080752	3.14767540172165e-05	0	0.796796206589678	0.69127860359483
